"method","setting","regime","rep","hits","fp"
"not","default","ar1",9,1,6
"not","default","ar1",10,2,16
"not","default","hetero",1,2,4
"not","default","hetero",2,2,0
"not","default","hetero",3,2,0
"not","default","hetero",4,2,0
"not","default","hetero",5,2,2
"not","default","hetero",6,2,3
"not","default","hetero",7,2,0
"not","default","hetero",8,2,0
"not","default","hetero",9,2,0
"not","default","hetero",10,2,0
"mosum","default","iid",1,2,0
"mosum","default","iid",2,2,0
"mosum","default","iid",3,2,0
"mosum","default","iid",4,2,0
"mosum","default","iid",5,2,0
"mosum","default","iid",6,2,0
"mosum","default","iid",7,2,0
"mosum","default","iid",8,2,0
"mosum","default","iid",9,2,0
"mosum","default","iid",10,2,0
"mosum","default","heavy",1,2,0
"mosum","default","heavy",2,2,0
"mosum","default","heavy",3,2,0
"mosum","default","heavy",4,2,0
"mosum","default","heavy",5,2,0
"mosum","default","heavy",6,2,0
"mosum","default","heavy",7,2,0
"mosum","default","heavy",8,2,0
"mosum","default","heavy",9,2,0
"mosum","default","heavy",10,2,0
"mosum","default","ar1",1,1,4
"mosum","default","ar1",2,2,2
"mosum","default","ar1",3,2,6
"mosum","default","ar1",4,2,2
"mosum","default","ar1",5,2,1
"mosum","default","ar1",6,2,4
"mosum","default","ar1",7,2,3
"mosum","default","ar1",8,2,2
"mosum","default","ar1",9,1,2
"mosum","default","ar1",10,1,5
"mosum","default","hetero",1,1,1
"mosum","default","hetero",2,2,0
"mosum","default","hetero",3,2,0
"mosum","default","hetero",4,2,0
"mosum","default","hetero",5,2,0
"mosum","default","hetero",6,2,0
"mosum","default","hetero",7,2,0
"mosum","default","hetero",8,1,0
"mosum","default","hetero",9,2,0
"mosum","default","hetero",10,2,0
"idetect","default","iid",1,2,1
"idetect","default","iid",2,2,0
"idetect","default","iid",3,2,0
"idetect","default","iid",4,2,0
"idetect","default","iid",5,2,0
"idetect","default","iid",6,2,0
"idetect","default","iid",7,2,2
"idetect","default","iid",8,2,0
"idetect","default","iid",9,2,0
"idetect","default","iid",10,2,2
"idetect","default","heavy",1,2,4
"idetect","default","heavy",2,2,2
"idetect","default","heavy",3,2,0
"idetect","default","heavy",4,2,0
"idetect","default","heavy",5,2,6
"idetect","default","heavy",6,2,0
"idetect","default","heavy",7,2,0
"idetect","default","heavy",8,2,8
"idetect","default","heavy",9,2,13
"idetect","default","heavy",10,2,0
"idetect","default","ar1",1,1,5
"idetect","default","ar1",2,2,9
"idetect","default","ar1",3,2,9
"idetect","default","ar1",4,2,3
"idetect","default","ar1",5,2,12
"idetect","default","ar1",6,2,12
"idetect","default","ar1",7,2,8
"idetect","default","ar1",8,2,8
"idetect","default","ar1",9,1,20
"idetect","default","ar1",10,2,18
"idetect","default","hetero",1,2,2
"idetect","default","hetero",2,2,0
"idetect","default","hetero",3,2,6
"idetect","default","hetero",4,2,0
"idetect","default","hetero",5,2,2
"idetect","default","hetero",6,2,7
"idetect","default","hetero",7,2,0
"idetect","default","hetero",8,2,0
"idetect","default","hetero",9,2,7
"idetect","default","hetero",10,2,7
"tguh","default","iid",1,2,1
"tguh","default","iid",2,2,0
"tguh","default","iid",3,2,0
"tguh","default","iid",4,2,0
"tguh","default","iid",5,2,0
"tguh","default","iid",6,2,0
"tguh","default","iid",7,2,0
"tguh","default","iid",8,2,0
"tguh","default","iid",9,2,0
"tguh","default","iid",10,2,2
"tguh","default","heavy",1,2,0
"tguh","default","heavy",2,2,0
"tguh","default","heavy",3,2,0
"tguh","default","heavy",4,2,0
"tguh","default","heavy",5,2,0
"tguh","default","heavy",6,2,0
"tguh","default","heavy",7,2,0
"tguh","default","heavy",8,2,0
"tguh","default","heavy",9,2,6
"tguh","default","heavy",10,2,0
"tguh","default","ar1",1,1,3
"tguh","default","ar1",2,2,9
"tguh","default","ar1",3,2,10
"tguh","default","ar1",4,2,0
"tguh","default","ar1",5,2,5
"tguh","default","ar1",6,2,12
"tguh","default","ar1",7,2,8
"tguh","default","ar1",8,2,12
"tguh","default","ar1",9,1,22
"tguh","default","ar1",10,2,19
"tguh","default","hetero",1,2,0
"tguh","default","hetero",2,2,0
"tguh","default","hetero",3,2,0
"tguh","default","hetero",4,2,0
"tguh","default","hetero",5,2,0
"tguh","default","hetero",6,2,5
"tguh","default","hetero",7,2,0
"tguh","default","hetero",8,2,0
"tguh","default","hetero",9,2,14
"tguh","default","hetero",10,2,0
"smuce","default","iid",1,2,0
"smuce","default","iid",2,2,0
"smuce","default","iid",3,2,0
"smuce","default","iid",4,2,0
"smuce","default","iid",5,2,0
"smuce","default","iid",6,2,1
"smuce","default","iid",7,2,0
"smuce","default","iid",8,2,0
"smuce","default","iid",9,2,0
"smuce","default","iid",10,2,0
"smuce","default","heavy",1,2,6
"smuce","default","heavy",2,2,5
"smuce","default","heavy",3,2,4
"smuce","default","heavy",4,2,4
"smuce","default","heavy",5,2,7
"smuce","default","heavy",6,2,3
"smuce","default","heavy",7,2,7
"smuce","default","heavy",8,2,6
"smuce","default","heavy",9,2,8
"smuce","default","heavy",10,2,2
"smuce","default","ar1",1,2,12
"smuce","default","ar1",2,2,11
"smuce","default","ar1",3,2,13
"smuce","default","ar1",4,2,9
"smuce","default","ar1",5,2,13
"smuce","default","ar1",6,2,11
"smuce","default","ar1",7,2,10
"smuce","default","ar1",8,2,11
"smuce","default","ar1",9,1,16
"smuce","default","ar1",10,2,17
"smuce","default","hetero",1,2,10
"smuce","default","hetero",2,2,15
"smuce","default","hetero",3,2,7
"smuce","default","hetero",4,2,7
"smuce","default","hetero",5,2,12
"smuce","default","hetero",6,2,6
"smuce","default","hetero",7,2,8
"smuce","default","hetero",8,2,11
"smuce","default","hetero",9,2,12
"smuce","default","hetero",10,2,11
"smuce","family = ""hsmuce""","iid",1,2,0
"smuce","family = ""hsmuce""","iid",2,2,0
"smuce","family = ""hsmuce""","iid",3,2,0
"smuce","family = ""hsmuce""","iid",4,2,0
"smuce","family = ""hsmuce""","iid",5,2,0
"smuce","family = ""hsmuce""","iid",6,2,0
"smuce","family = ""hsmuce""","iid",7,2,0
"smuce","family = ""hsmuce""","iid",8,2,0
"smuce","family = ""hsmuce""","iid",9,2,0
"smuce","family = ""hsmuce""","iid",10,2,0
"smuce","family = ""hsmuce""","heavy",1,2,1
